id,Date,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,Built Year,Renovation Year,Postal Code,Latitude,Longitude,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price
6762810635.0,42491.0,4.0,2.5,2920.0,4000.0,1.5,0.0,0.0,5.0,8.0,1910.0,1010.0,1909.0,0.0,122004.0,52.8878,-114.47,2470.0,4000.0,2.0,51.0,1400000.0
6762810998.0,42491.0,5.0,2.75,2910.0,9480.0,1.5,0.0,0.0,3.0,8.0,2910.0,0.0,1939.0,0.0,122004.0,52.8852,-114.468,2940.0,6600.0,1.0,53.0,1200000.0
6762812605.0,42491.0,4.0,2.5,3310.0,42998.0,2.0,0.0,0.0,3.0,9.0,3310.0,0.0,2001.0,0.0,122005.0,52.9532,-114.321,3350.0,42847.0,3.0,76.0,838000.0
6762812919.0,42491.0,3.0,2.0,2710.0,4500.0,1.5,0.0,0.0,4.0,8.0,1880.0,830.0,1929.0,0.0,122006.0,52.9047,-114.485,2060.0,4500.0,1.0,51.0,805000.0
6762813105.0,42491.0,3.0,2.5,2600.0,4750.0,1.0,0.0,0.0,4.0,9.0,1700.0,900.0,1951.0,0.0,122007.0,52.9133,-114.59,2380.0,4750.0,1.0,67.0,790000.0
6762813157.0,42491.0,5.0,3.25,3660.0,11995.0,2.0,0.0,2.0,3.0,10.0,3660.0,0.0,2006.0,0.0,122008.0,52.7637,-114.05,3320.0,11241.0,3.0,72.0,785000.0
6762813599.0,42491.0,3.0,1.75,2240.0,10578.0,2.0,0.0,0.0,5.0,8.0,1550.0,690.0,1923.0,0.0,122006.0,52.9254,-114.482,1570.0,10578.0,3.0,71.0,750000.0
6762813600.0,42491.0,3.0,2.5,2390.0,6550.0,1.0,0.0,2.0,4.0,8.0,1440.0,950.0,1955.0,0.0,122009.0,52.8014,-114.598,2010.0,6550.0,1.0,73.0,750000.0
6762814461.0,42491.0,4.0,2.25,2200.0,11250.0,1.5,0.0,0.0,5.0,7.0,1300.0,900.0,1920.0,0.0,122010.0,52.9145,-114.391,2320.0,10814.0,2.0,53.0,698000.0
6762814787.0,42491.0,5.0,2.5,2820.0,67518.0,2.0,0.0,0.0,3.0,8.0,2820.0,0.0,1979.0,0.0,122011.0,52.8094,-114.215,2820.0,48351.0,2.0,51.0,675000.0
6762815225.0,42491.0,4.0,2.0,1820.0,5000.0,1.5,0.0,1.0,3.0,7.0,1640.0,180.0,1945.0,0.0,122006.0,52.9115,-114.459,2060.0,5000.0,2.0,69.0,650000.0
